Time,Angle
11:33:48.768,30
11:33:48.887,31
11:33:48.981,32
11:33:49.075,33
11:33:49.169,34
11:33:49.262,35
11:33:49.403,36
11:33:49.497,37
11:33:49.591,38
11:33:49.684,39
11:33:49.778,40
11:33:49.872,41
11:33:49.965,42
11:33:50.059,43
11:33:50.200,44
11:33:50.294,45
11:33:50.387,46
11:33:50.481,47
11:33:50.575,48
11:33:50.668,49
11:33:50.809,50
11:33:50.856,51
11:33:50.997,52
11:33:51.090,53
11:33:51.184,54
11:33:51.278,55
11:33:51.371,56
11:33:51.465,57
11:33:51.606,58
11:33:51.699,59
11:33:51.793,60
11:33:51.887,61
11:33:51.975,62
11:33:52.069,63
11:33:52.163,64
11:33:52.304,65
11:33:52.397,66
11:33:52.491,67
11:33:52.585,68
11:33:52.678,69
11:33:52.772,70
11:33:52.866,71
11:33:52.959,72
11:33:53.100,73
11:33:53.194,74
11:33:53.287,75
11:33:53.381,76
11:33:53.475,77
11:33:53.569,78
11:33:53.662,79
11:33:53.803,80
11:33:53.897,81
11:33:53.990,82
11:33:54.084,83
11:33:54.178,84
11:33:54.272,85
11:33:54.365,86
11:33:54.459,87
11:33:54.600,88
11:33:54.693,89
11:33:54.787,90
11:33:54.881,91
11:33:54.975,92
11:33:55.109,93
11:33:55.203,94
11:33:55.296,95
11:33:55.390,96
11:33:55.484,97
11:33:55.578,98
11:33:55.671,99
11:33:55.765,100
11:33:55.906,101
11:33:55.999,102
11:33:56.081,103
11:33:56.175,104
11:33:56.269,105
11:33:56.362,106
11:33:56.503,107
11:33:56.597,108
11:33:56.691,109
11:33:56.784,110
11:33:56.878,111
11:33:56.972,112
11:33:57.066,113
11:33:57.159,114
11:33:57.300,115
11:33:57.394,116
11:33:57.487,117
11:33:57.581,118
11:33:57.675,119
11:33:57.768,120
11:33:57.909,121
11:33:57.956,122
11:33:58.100,123
11:33:58.200,124
11:33:58.294,125
11:33:58.387,126
11:33:58.481,127
11:33:58.575,128
11:33:58.668,129
11:33:58.809,130
11:33:58.856,131
11:33:58.996,132
11:33:59.090,133
11:33:59.184,134
11:33:59.278,135
11:33:59.371,134
11:33:59.465,133
11:33:59.606,132
11:33:59.699,131
11:33:59.793,130
11:33:59.887,129
11:33:59.980,128
11:34:00.074,127
11:34:00.168,126
11:34:00.262,125
11:34:00.402,124
11:34:00.496,123
11:34:00.590,122
11:34:00.683,121
11:34:00.777,120
11:34:00.871,119
11:34:00.965,118
11:34:01.105,117
11:34:01.208,116
11:34:01.299,115
11:34:01.393,114
11:34:01.580,113
11:34:01.674,112
11:34:01.768,111
11:34:01.861,110
11:34:02.002,109
11:34:02.096,108
11:34:02.190,107
11:34:02.284,106
11:34:02.471,105
11:34:02.518,104
11:34:02.611,103
11:34:02.705,102
11:34:02.799,101
11:34:02.892,100
11:34:02.986,99
11:34:03.080,98
11:34:03.221,97
11:34:03.314,96
11:34:03.408,95
11:34:03.502,94
11:34:03.595,93
11:34:03.689,92
11:34:03.783,91
